"Language","ISO_code","Phoible_code","Meaning","Form","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","revision","Form_norm","Latitude_fixed","Longitude_fixed"
"Afrikaans","afr","afr","fine","fyn","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-5.2,FALSE,"trill",FALSE,FALSE,"trilled","fyn",-31,22
"Afrikaans","afr","afr","bumpy","stamperige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",3.3,TRUE,"trill",TRUE,FALSE,"trilled","stamperige",-31,22
"Afrikaans","afr","afr","woolly","wollerige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",0,TRUE,"trill",TRUE,TRUE,"trilled","wollerige",-31,22
"Afrikaans","afr","afr","crumpled","gefrommel","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",3.1,TRUE,"trill",TRUE,TRUE,"trilled","gefrommel",-31,22
"Afrikaans","afr","afr","sandy","sanderige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",3.9,TRUE,"trill",TRUE,FALSE,"trilled","sanderige",-31,22
"Afrikaans","afr","afr","dented","ingeduik","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",2.4,TRUE,"trill",FALSE,FALSE,"trilled","ingeduik",-31,22
"Afrikaans","afr","afr","icy","ysige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-4.3,FALSE,"trill",FALSE,FALSE,"trilled","ysige",-31,22
"Afrikaans","afr","afr","scratchy","krapperig","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",5,TRUE,"trill",TRUE,FALSE,"trilled","krapperig",-31,22
"Afrikaans","afr","afr","crusty","bedonnerde","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",2.9,TRUE,"trill",TRUE,FALSE,"trilled","bedonnerde",-31,22
"Afrikaans","afr","afr","callused","vasgekallus","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",4.2,TRUE,"trill",FALSE,TRUE,"trilled","vasgekallus",-31,22
"Afrikaans","afr","afr","frayed","uitgerafelde","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-0.8,FALSE,"trill",TRUE,TRUE,"trilled","uitgerafelde",-31,22
"Afrikaans","afr","afr","gelatinous","gelatienagtige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-4.2,FALSE,"trill",FALSE,TRUE,"trilled","gelatienagtige",-31,22
"Afrikaans","afr","afr","creamy","romerige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-4.8,FALSE,"trill",TRUE,FALSE,"trilled","romerige",-31,22
"Afrikaans","afr","afr","varnished","verniste","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-3.7,FALSE,"trill",TRUE,FALSE,"trilled","verniste",-31,22
"Afrikaans","afr","afr","flat","plat","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-2.7,FALSE,"trill",FALSE,TRUE,"trilled","plat",-31,22
"Afrikaans","afr","afr","etched","geëts","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",2.8,TRUE,"trill",FALSE,FALSE,"trilled","geëts",-31,22
"Afrikaans","afr","afr","slimy","slymerige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-5.2,FALSE,"trill",TRUE,TRUE,"trilled","slymerige",-31,22
"Afrikaans","afr","afr","oily","olierige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-6.2,FALSE,"trill",TRUE,TRUE,"trilled","olierige",-31,22
"Afrikaans","afr","afr","crumbly","krummelrige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",3.2,TRUE,"trill",TRUE,TRUE,"trilled","krummelrige",-31,22
"Afrikaans","afr","afr","papery","papieragtige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-3.2,FALSE,"trill",TRUE,FALSE,"trilled","papieragtige",-31,22
"Afrikaans","afr","afr","perforated","geperforeerde","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",0.4,TRUE,"trill",TRUE,FALSE,"trilled","geperforeerde",-31,22
"Afrikaans","afr","afr","scaly","skubberige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",1.9,TRUE,"trill",TRUE,FALSE,"trilled","skubberige",-31,22
"Afrikaans","afr","afr","dusty","stowwerige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-0.8,FALSE,"trill",TRUE,FALSE,"trilled","stowwerige",-31,22
"Afrikaans","afr","afr","gluey","lijmerig","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-2.9,FALSE,"trill",TRUE,TRUE,"trilled","lijmerig",-31,22
"Afrikaans","afr","afr","gooey","slissend","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-4.9,FALSE,"trill",FALSE,TRUE,"trilled","slissend",-31,22
"Afrikaans","afr","afr","crinkled","geriffel","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",2.4,TRUE,"trill",TRUE,TRUE,"trilled","geriffel",-31,22
"Afrikaans","afr","afr","cracked","gekraak","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",3.5,TRUE,"trill",TRUE,FALSE,"trilled","gekraak",-31,22
"Afrikaans","afr","afr","brassy","onbeschaamd","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-2.3,FALSE,"trill",FALSE,FALSE,"trilled","onbeschaamd",-31,22
"Afrikaans","afr","afr","ragged","verskeurde","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",3.3,TRUE,"trill",TRUE,FALSE,"trilled","verskeurde",-31,22
"Afrikaans","afr","afr","fibrous","veselagtige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",2.3,TRUE,"trill",FALSE,TRUE,"trilled","veselagtige",-31,22
"Afrikaans","afr","afr","silky","syagtige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-5.9,FALSE,"trill",FALSE,FALSE,"trilled","syagtige",-31,22
"Afrikaans","afr","afr","bristly","borselagtige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",4.4,TRUE,"trill",TRUE,TRUE,"trilled","borselagtige",-31,22
"Afrikaans","afr","afr","rocky","rotsagtige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",4.8,TRUE,"trill",TRUE,FALSE,"trilled","rotsagtige",-31,22
"Afrikaans","afr","afr","hairy","harige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",0,TRUE,"trill",TRUE,FALSE,"trilled","harige",-31,22
"Afrikaans","afr","afr","woven","geweef","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-0.2,FALSE,"trill",FALSE,FALSE,"trilled","geweef",-31,22
"Afrikaans","afr","afr","prickly","stekelrige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",5.2,TRUE,"trill",TRUE,TRUE,"trilled","stekelrige",-31,22
"Afrikaans","afr","afr","feathered","geveer","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-4.6,FALSE,"trill",TRUE,FALSE,"trilled","geveer",-31,22
"Afrikaans","afr","afr","thorny","netelige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",5.8,TRUE,"trill",FALSE,TRUE,"trilled","netelige",-31,22
"Afrikaans","afr","afr","glassy","glasagtige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-4.3,FALSE,"trill",FALSE,TRUE,"trilled","glasagtige",-31,22
"Afrikaans","afr","afr","waxy","wasagtige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-3.6,FALSE,"trill",FALSE,FALSE,"trilled","wasagtige",-31,22
"Afrikaans","afr","afr","greasy","vetterige","yes","Google",-31,22,"Indo-European","Germanic","S Africa","Africa",-5.1,FALSE,"trill",TRUE,FALSE,"trilled","vetterige",-31,22
"Arabic","arb","arz","velvety","مخملي","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-5.3,FALSE,"trill",FALSE,TRUE,NA,"مخملي",30,31
"Arabic","arb","arz","frizzy","جعد","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",0.6,TRUE,"trill",FALSE,FALSE,NA,"جعد",30,31
"Arabic","arb","arz","fuzzy","أجعد","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-1.6,FALSE,"trill",FALSE,FALSE,NA,"أجعد",30,31
"Arabic","arb","arz","ribbed","مضلع","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",3.4,TRUE,"trill",FALSE,TRUE,NA,"مضلع",30,31
"Arabic","arb","arz","stubbly","مكسو بالخذامة","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",5,TRUE,"trill",FALSE,TRUE,NA,"مكسو بالخذامة",30,31
"Arabic","arb","arz","bubbly","شمبانيا","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-3.3,FALSE,"trill",FALSE,FALSE,NA,"شمبانيا",30,31
"Arabic","arb","arz","abrasive","كاشط","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",6.3,TRUE,"trill",FALSE,FALSE,NA,"كاشط",30,31
"Arabic","arb","arz","bony","عظمي","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",2.5,TRUE,"trill",FALSE,FALSE,NA,"عظمي",30,31
"Arabic","arb","arz","slippery","زلق","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-6.2,FALSE,"trill",FALSE,TRUE,NA,"زلق",30,31
"Arabic","arb","arz","lumpy","محفر","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",2.9,TRUE,"trill",TRUE,FALSE,NA,"محفر",30,31
"Arabic","arb","arz","knobby","كثير العقد","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",2.6,TRUE,"trill",TRUE,TRUE,NA,"كثير العقد",30,31
"Arabic","arb","arz","wooden","خشبي","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",1.3,TRUE,"trill",FALSE,FALSE,NA,"خشبي",30,31
"Arabic","arb","arz","metallic","معدني","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-1.9,FALSE,"trill",FALSE,FALSE,NA,"معدني",30,31
"Arabic","arb","arz","polished","مصقول","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-5.3,FALSE,"trill",FALSE,TRUE,NA,"مصقول",30,31
"Arabic","arb","arz","fine","غرامة","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-5.2,FALSE,"trill",TRUE,FALSE,NA,"غرامة",30,31
"Arabic","arb","arz","serrated","مسنن","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",4,TRUE,"trill",FALSE,FALSE,NA,"مسنن",30,31
"Arabic","arb","arz","bumpy","وعر","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",3.3,TRUE,"trill",TRUE,FALSE,NA,"وعر",30,31
"Arabic","arb","arz","crumpled","تكوم","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",3.1,TRUE,"trill",FALSE,FALSE,NA,"تكوم",30,31
"Arabic","arb","arz","sandy","رملي","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",3.9,TRUE,"trill",TRUE,TRUE,NA,"رملي",30,31
"Arabic","arb","arz","pebbly","محصب","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",3.8,TRUE,"trill",FALSE,FALSE,NA,"محصب",30,31
"Arabic","arb","arz","ceramic","سيراميك","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-2.5,FALSE,"trill",TRUE,FALSE,NA,"سيراميك",30,31
"Arabic","arb","arz","crusty","قشري","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",2.9,TRUE,"trill",TRUE,FALSE,NA,"قشري",30,31
"Arabic","arb","arz","gelatinous","هلامي","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-4.2,FALSE,"trill",FALSE,TRUE,NA,"هلامي",30,31
"Arabic","arb","arz","bald","أصلع","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-4.1,FALSE,"trill",FALSE,TRUE,NA,"أصلع",30,31
"Arabic","arb","arz","creamy","دسم","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-4.8,FALSE,"trill",FALSE,FALSE,NA,"دسم",30,31
"Arabic","arb","arz","chalky","طباشيري","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-1.1,FALSE,"trill",TRUE,FALSE,NA,"طباشيري",30,31
"Arabic","arb","arz","flat","مسطحة","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-2.7,FALSE,"trill",FALSE,FALSE,NA,"مسطحة",30,31
"Arabic","arb","arz","etched","محفورا","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",2.8,TRUE,"trill",TRUE,FALSE,NA,"محفورا",30,31
"Arabic","arb","arz","slimy","غروي","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-5.2,FALSE,"trill",TRUE,FALSE,NA,"غروي",30,31
"Arabic","arb","arz","harsh","قاس","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",5.5,TRUE,"trill",FALSE,FALSE,NA,"قاس",30,31
"Arabic","arb","arz","lubricated","مشحم","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-6.2,FALSE,"trill",FALSE,FALSE,NA,"مشحم",30,31
"Arabic","arb","arz","perforated","مثقب","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",0.4,TRUE,"trill",FALSE,FALSE,NA,"مثقب",30,31
"Arabic","arb","arz","scaly","متقشر","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",1.9,TRUE,"trill",TRUE,FALSE,NA,"متقشر",30,31
"Arabic","arb","arz","dusty","مغبر","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-0.8,FALSE,"trill",TRUE,FALSE,NA,"مغبر",30,31
"Arabic","arb","arz","brassy","البراسية عصا غولف نحاسية","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-2.3,FALSE,"trill",TRUE,TRUE,NA,"البراسية عصا غولف نحاسية",30,31
"Arabic","arb","arz","rugged","وعر، خشن، قاس","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",4,TRUE,"trill",TRUE,FALSE,NA,"وعر، خشن، قاس",30,31
"Arabic","arb","arz","crisp","هش","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",2,TRUE,"trill",FALSE,FALSE,NA,"هش",30,31
"Arabic","arb","arz","silky","حريري","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-5.9,FALSE,"trill",TRUE,FALSE,NA,"حريري",30,31
"Arabic","arb","arz","rocky","صخري","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",4.8,TRUE,"trill",TRUE,FALSE,NA,"صخري",30,31
"Arabic","arb","arz","barbed","شائك","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",6.3,TRUE,"trill",FALSE,FALSE,NA,"شائك",30,31
"Arabic","arb","arz","hairy","كثير الشعر","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",0,TRUE,"trill",TRUE,TRUE,NA,"كثير الشعر",30,31
"Arabic","arb","arz","furry","فروي","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-2.8,FALSE,"trill",TRUE,FALSE,NA,"فروي",30,31
"Arabic","arb","arz","waxy","شمعي","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-3.6,FALSE,"trill",FALSE,FALSE,NA,"شمعي",30,31
"Arabic","arb","arz","greasy","دهني","yes","Google",30,31,"Semitic","West Semitic","N Africa","Africa",-5.1,FALSE,"trill",FALSE,FALSE,NA,"دهني",30,31
"Azeerbaijani","aze","azj","grooved","yivli","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",1.7,TRUE,"no trill",FALSE,TRUE,"trilled","yivli",40.5,48.5
"Azeerbaijani","aze","azj","velvety","məxməri","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-5.3,FALSE,"no trill",TRUE,FALSE,"trilled","məxməri",40.5,48.5
"Azeerbaijani","aze","azj","fuzzy","qeyri-səlis","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-1.6,FALSE,"no trill",TRUE,TRUE,"trilled","qeyri-səlis",40.5,48.5
"Azeerbaijani","aze","azj","abrasive","aşındırıcı","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",6.3,TRUE,"no trill",TRUE,FALSE,"trilled","aşındırıcı",40.5,48.5
"Azeerbaijani","aze","azj","slippery","sürüşkən","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-6.2,FALSE,"no trill",TRUE,FALSE,"trilled","sürüşkən",40.5,48.5
"Azeerbaijani","aze","azj","rough","kobud","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",6.2,TRUE,"no trill",FALSE,FALSE,"trilled","kobud",40.5,48.5
"Azeerbaijani","aze","azj","textured","dokulu","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",0.8,TRUE,"no trill",FALSE,TRUE,"trilled","dokulu",40.5,48.5
"Azeerbaijani","aze","azj","wooden","taxta","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",1.3,TRUE,"no trill",FALSE,FALSE,"trilled","taxta",40.5,48.5
"Azeerbaijani","aze","azj","polished","cilalanmışdır","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-5.3,FALSE,"no trill",TRUE,TRUE,"trilled","cilalanmışdır",40.5,48.5
"Azeerbaijani","aze","azj","painted","boyalı","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-3,FALSE,"no trill",FALSE,TRUE,"trilled","boyalı",40.5,48.5
"Azeerbaijani","aze","azj","woolly","yünlü","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",0,TRUE,"no trill",FALSE,TRUE,"trilled","yünlü",40.5,48.5
"Azeerbaijani","aze","azj","beaded","boncuklu","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",3,TRUE,"no trill",FALSE,TRUE,"trilled","boncuklu",40.5,48.5
"Azeerbaijani","aze","azj","sandy","qumlu","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",3.9,TRUE,"no trill",FALSE,TRUE,"trilled","qumlu",40.5,48.5
"Azeerbaijani","aze","azj","icy","buzlu","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-4.3,FALSE,"no trill",FALSE,TRUE,"trilled","buzlu",40.5,48.5
"Azeerbaijani","aze","azj","ceramic","keramika","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-2.5,FALSE,"no trill",TRUE,FALSE,"trilled","keramika",40.5,48.5
"Azeerbaijani","aze","azj","flat","düz","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-2.7,FALSE,"no trill",FALSE,FALSE,"trilled","düz",40.5,48.5
"Azeerbaijani","aze","azj","perforated","perforasiya edilmiş","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",0.4,TRUE,"no trill",TRUE,TRUE,"trilled","perforasiya edilmiş",40.5,48.5
"Azeerbaijani","aze","azj","dusty","tozlu","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-0.8,FALSE,"no trill",FALSE,TRUE,"trilled","tozlu",40.5,48.5
"Azeerbaijani","aze","azj","cracked","çatladı","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",3.5,TRUE,"no trill",FALSE,TRUE,"trilled","çatladı",40.5,48.5
"Azeerbaijani","aze","azj","fibrous","lifli","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",2.3,TRUE,"no trill",FALSE,TRUE,"trilled","lifli",40.5,48.5
"Azeerbaijani","aze","azj","smooth","hamar","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-6.9,FALSE,"no trill",TRUE,FALSE,"trilled","hamar",40.5,48.5
"Azeerbaijani","aze","azj","rocky","qayalı","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",4.8,TRUE,"no trill",FALSE,TRUE,"trilled","qayalı",40.5,48.5
"Azeerbaijani","aze","azj","hairy","tüklü","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",0,TRUE,"no trill",FALSE,TRUE,"trilled","tüklü",40.5,48.5
"Azeerbaijani","aze","azj","woven","toxunmuşdur","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",-0.2,FALSE,"no trill",TRUE,FALSE,"trilled","toxunmuşdur",40.5,48.5
"Azeerbaijani","aze","azj","blunt","künt","no","Google",40.5,48.5,"Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia",0.5,TRUE,"no trill",FALSE,FALSE,"trilled","künt",40.5,48.5
"Belarusian","bel","bel","ridged","коньковый","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",3.1,TRUE,NA,FALSE,FALSE,"trilled","коньковый",54,28
"Belarusian","bel","bel","velvety","аксаміцісты","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",-5.3,FALSE,NA,FALSE,FALSE,"trilled","аксаміцісты",54,28
"Belarusian","bel","bel","ribbed","рабрысты","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",3.4,TRUE,NA,TRUE,FALSE,"trilled","рабрысты",54,28
"Belarusian","bel","bel","abrasive","абразіўны","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",6.3,TRUE,NA,TRUE,FALSE,"trilled","абразіўны",54,28
"Belarusian","bel","bel","bony","кашчавы","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",2.5,TRUE,NA,FALSE,FALSE,"trilled","кашчавы",54,28
"Belarusian","bel","bel","slippery","слізкі","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",-6.2,FALSE,NA,FALSE,TRUE,"trilled","слізкі",54,28
"Belarusian","bel","bel","rough","грубы","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",6.2,TRUE,NA,TRUE,FALSE,"trilled","грубы",54,28
"Belarusian","bel","bel","textured","тэкстураваных","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",0.8,TRUE,NA,TRUE,FALSE,"trilled","тэкстураваных",54,28
"Belarusian","bel","bel","polished","паліраваны","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",-5.3,FALSE,NA,TRUE,TRUE,"trilled","паліраваны",54,28
"Belarusian","bel","bel","painted","афарбаваны","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",-3,FALSE,NA,TRUE,FALSE,"trilled","афарбаваны",54,28
"Belarusian","bel","bel","serrated","вышчэрблены","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",4,TRUE,NA,TRUE,TRUE,"trilled","вышчэрблены",54,28
"Belarusian","bel","bel","woolly","шарсцісты","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",0,TRUE,NA,TRUE,FALSE,"trilled","шарсцісты",54,28
"Belarusian","bel","bel","crinkly","маршчыністы","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",2.7,TRUE,NA,TRUE,FALSE,"trilled","маршчыністы",54,28
"Belarusian","bel","bel","crumpled","пакамячаную","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",3.1,TRUE,NA,FALSE,FALSE,"trilled","пакамячаную",54,28
"Belarusian","bel","bel","sandy","пяшчаны","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",3.9,TRUE,NA,FALSE,FALSE,"trilled","пяшчаны",54,28
"Belarusian","bel","bel","scratchy","калючы","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",5,TRUE,NA,FALSE,TRUE,"trilled","калючы",54,28
"Belarusian","bel","bel","pebbly","пакрыты галькай","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",3.8,TRUE,NA,TRUE,TRUE,"trilled","пакрыты галькай",54,28
"Belarusian","bel","bel","firm","фірма","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",4.2,TRUE,NA,TRUE,FALSE,"trilled","фірма",54,28
"Belarusian","bel","bel","ceramic","керамічны","yes","Google",54,28,"Indo-European","Balto-Slavic","Inner Asia","N-C Asia",-2.5,FALSE,NA,TRUE,FALSE,"trilled","керамічны",54,28
