Language,ISO_code,Phoible_code,Meaning,Form,Trill,Dataset,Latitude,Longitude,Family,Branch,Area,Continent,Rough.M,rough,R_type,r,l,revision,Form_norm,Latitude_fixed,Longitude_fixed,CleanForm,CleanFormLength,CleanFormNorm,CleanFormNormLength
Afrikaans,afr,afr,painted,geverf,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-3.0000,False,trill,True,False,trilled,geverf,-31.0000,22.0000,geverf,6,geverf,6
Afrikaans,afr,afr,fine,fyn,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-5.2000,False,trill,False,False,trilled,fyn,-31.0000,22.0000,fyn,3,fyn,3
Afrikaans,afr,afr,bumpy,stamperige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,3.3000,True,trill,True,False,trilled,stamperige,-31.0000,22.0000,stamperige,10,stamperige,10
Afrikaans,afr,afr,woolly,wollerige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,0.0000,True,trill,True,True,trilled,wollerige,-31.0000,22.0000,wolerige,8,wolerige,8
Afrikaans,afr,afr,crumpled,gefrommel,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,3.1000,True,trill,True,True,trilled,gefrommel,-31.0000,22.0000,gefromel,8,gefromel,8
Afrikaans,afr,afr,sandy,sanderige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,3.9000,True,trill,True,False,trilled,sanderige,-31.0000,22.0000,sanderige,9,sanderige,9
Afrikaans,afr,afr,dented,ingeduik,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,2.4000,True,trill,False,False,trilled,ingeduik,-31.0000,22.0000,ingeduik,8,ingeduik,8
Afrikaans,afr,afr,icy,ysige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-4.3000,False,trill,False,False,trilled,ysige,-31.0000,22.0000,ysige,5,ysige,5
Afrikaans,afr,afr,scratchy,krapperig,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,5.0000,True,trill,True,False,trilled,krapperig,-31.0000,22.0000,kraperig,8,kraperig,8
Afrikaans,afr,afr,crusty,bedonnerde,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,2.9000,True,trill,True,False,trilled,bedonnerde,-31.0000,22.0000,bedonerde,9,bedonerde,9
Afrikaans,afr,afr,callused,vasgekallus,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,4.2000,True,trill,False,True,trilled,vasgekallus,-31.0000,22.0000,vasgekalus,10,vasgekalus,10
Afrikaans,afr,afr,frayed,uitgerafelde,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-0.8000,False,trill,True,True,trilled,uitgerafelde,-31.0000,22.0000,uitgerafelde,12,uitgerafelde,12
Afrikaans,afr,afr,gelatinous,gelatienagtige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-4.2000,False,trill,False,True,trilled,gelatienagtige,-31.0000,22.0000,gelatienagtige,14,gelatienagtige,14
Afrikaans,afr,afr,creamy,romerige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-4.8000,False,trill,True,False,trilled,romerige,-31.0000,22.0000,romerige,8,romerige,8
Afrikaans,afr,afr,varnished,verniste,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-3.7000,False,trill,True,False,trilled,verniste,-31.0000,22.0000,verniste,8,verniste,8
Afrikaans,afr,afr,flat,plat,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-2.7000,False,trill,False,True,trilled,plat,-31.0000,22.0000,plat,4,plat,4
Afrikaans,afr,afr,etched,geëts,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,2.8000,True,trill,False,False,trilled,geëts,-31.0000,22.0000,geëts,5,geëts,5
Afrikaans,afr,afr,slimy,slymerige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-5.2000,False,trill,True,True,trilled,slymerige,-31.0000,22.0000,slymerige,9,slymerige,9
Afrikaans,afr,afr,oily,olierige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-6.2000,False,trill,True,True,trilled,olierige,-31.0000,22.0000,olierige,8,olierige,8
Afrikaans,afr,afr,crumbly,krummelrige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,3.2000,True,trill,True,True,trilled,krummelrige,-31.0000,22.0000,krumelrige,10,krumelrige,10
Afrikaans,afr,afr,papery,papieragtige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-3.2000,False,trill,True,False,trilled,papieragtige,-31.0000,22.0000,papieragtige,12,papieragtige,12
Afrikaans,afr,afr,perforated,geperforeerde,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,0.4000,True,trill,True,False,trilled,geperforeerde,-31.0000,22.0000,geperforerde,12,geperforerde,12
Afrikaans,afr,afr,scaly,skubberige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,1.9000,True,trill,True,False,trilled,skubberige,-31.0000,22.0000,skuberige,9,skuberige,9
Afrikaans,afr,afr,dusty,stowwerige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-0.8000,False,trill,True,False,trilled,stowwerige,-31.0000,22.0000,stowerige,9,stowerige,9
Afrikaans,afr,afr,gluey,lijmerig,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-2.9000,False,trill,True,True,trilled,lijmerig,-31.0000,22.0000,lijmerig,8,lijmerig,8
Afrikaans,afr,afr,gooey,slissend,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-4.9000,False,trill,False,True,trilled,slissend,-31.0000,22.0000,slisend,7,slisend,7
Afrikaans,afr,afr,crinkled,geriffel,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,2.4000,True,trill,True,True,trilled,geriffel,-31.0000,22.0000,gerifel,7,gerifel,7
Afrikaans,afr,afr,cracked,gekraak,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,3.5000,True,trill,True,False,trilled,gekraak,-31.0000,22.0000,gekrak,6,gekrak,6
Afrikaans,afr,afr,brassy,onbeschaamd,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-2.3000,False,trill,False,False,trilled,onbeschaamd,-31.0000,22.0000,onbeschamd,10,onbeschamd,10
Afrikaans,afr,afr,ragged,verskeurde,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,3.3000,True,trill,True,False,trilled,verskeurde,-31.0000,22.0000,verskeurde,10,verskeurde,10
Afrikaans,afr,afr,fibrous,veselagtige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,2.3000,True,trill,False,True,trilled,veselagtige,-31.0000,22.0000,veselagtige,11,veselagtige,11
Afrikaans,afr,afr,silky,syagtige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-5.9000,False,trill,False,False,trilled,syagtige,-31.0000,22.0000,syagtige,8,syagtige,8
Afrikaans,afr,afr,bristly,borselagtige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,4.4000,True,trill,True,True,trilled,borselagtige,-31.0000,22.0000,borselagtige,12,borselagtige,12
Afrikaans,afr,afr,rocky,rotsagtige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,4.8000,True,trill,True,False,trilled,rotsagtige,-31.0000,22.0000,rotsagtige,10,rotsagtige,10
Afrikaans,afr,afr,hairy,harige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,0.0000,True,trill,True,False,trilled,harige,-31.0000,22.0000,harige,6,harige,6
Afrikaans,afr,afr,woven,geweef,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-0.2000,False,trill,False,False,trilled,geweef,-31.0000,22.0000,gewef,5,gewef,5
Afrikaans,afr,afr,prickly,stekelrige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,5.2000,True,trill,True,True,trilled,stekelrige,-31.0000,22.0000,stekelrige,10,stekelrige,10
Afrikaans,afr,afr,feathered,geveer,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-4.6000,False,trill,True,False,trilled,geveer,-31.0000,22.0000,gever,5,gever,5
Afrikaans,afr,afr,thorny,netelige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,5.8000,True,trill,False,True,trilled,netelige,-31.0000,22.0000,netelige,8,netelige,8
Afrikaans,afr,afr,glassy,glasagtige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-4.3000,False,trill,False,True,trilled,glasagtige,-31.0000,22.0000,glasagtige,10,glasagtige,10
Afrikaans,afr,afr,waxy,wasagtige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-3.6000,False,trill,False,False,trilled,wasagtige,-31.0000,22.0000,wasagtige,9,wasagtige,9
Afrikaans,afr,afr,greasy,vetterige,yes,Google,-31.0000,22.0000,Indo-European,Germanic,S Africa,Africa,-5.1000,False,trill,True,False,trilled,vetterige,-31.0000,22.0000,veterige,8,veterige,8
Arabic,arb,arz,velvety,مخملي,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-5.3000,False,trill,False,True,NA,مخملي,30.0000,31.0000,مخملي,5,مخملي,5
Arabic,arb,arz,frizzy,جعد,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,0.6000,True,trill,False,False,NA,جعد,30.0000,31.0000,جعد,3,جعد,3
Arabic,arb,arz,fuzzy,أجعد,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-1.6000,False,trill,False,False,NA,أجعد,30.0000,31.0000,أجعد,4,أجعد,4
Arabic,arb,arz,ribbed,مضلع,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,3.4000,True,trill,False,True,NA,مضلع,30.0000,31.0000,مضلع,4,مضلع,4
Arabic,arb,arz,stubbly,مكسو بالخذامة,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,5.0000,True,trill,False,True,NA,مكسو بالخذامة,30.0000,31.0000,مكسوبالخذامة,12,مكسوبالخذامة,12
Arabic,arb,arz,bubbly,شمبانيا,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-3.3000,False,trill,False,False,NA,شمبانيا,30.0000,31.0000,شمبانيا,7,شمبانيا,7
Arabic,arb,arz,abrasive,كاشط,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,6.3000,True,trill,False,False,NA,كاشط,30.0000,31.0000,كاشط,4,كاشط,4
Arabic,arb,arz,bony,عظمي,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,2.5000,True,trill,False,False,NA,عظمي,30.0000,31.0000,عظمي,4,عظمي,4
Arabic,arb,arz,slippery,زلق,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-6.2000,False,trill,False,True,NA,زلق,30.0000,31.0000,زلق,3,زلق,3
Arabic,arb,arz,lumpy,محفر,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,2.9000,True,trill,True,False,NA,محفر,30.0000,31.0000,محفر,4,محفر,4
Arabic,arb,arz,knobby,كثير العقد,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,2.6000,True,trill,True,True,NA,كثير العقد,30.0000,31.0000,كثيرالعقد,9,كثيرالعقد,9
Arabic,arb,arz,wooden,خشبي,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,1.3000,True,trill,False,False,NA,خشبي,30.0000,31.0000,خشبي,4,خشبي,4
Arabic,arb,arz,metallic,معدني,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-1.9000,False,trill,False,False,NA,معدني,30.0000,31.0000,معدني,5,معدني,5
Arabic,arb,arz,polished,مصقول,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-5.3000,False,trill,False,True,NA,مصقول,30.0000,31.0000,مصقول,5,مصقول,5
Arabic,arb,arz,fine,غرامة,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-5.2000,False,trill,True,False,NA,غرامة,30.0000,31.0000,غرامة,5,غرامة,5
Arabic,arb,arz,serrated,مسنن,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,4.0000,True,trill,False,False,NA,مسنن,30.0000,31.0000,مسن,3,مسن,3
Arabic,arb,arz,bumpy,وعر,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,3.3000,True,trill,True,False,NA,وعر,30.0000,31.0000,وعر,3,وعر,3
Arabic,arb,arz,crumpled,تكوم,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,3.1000,True,trill,False,False,NA,تكوم,30.0000,31.0000,تكوم,4,تكوم,4
Arabic,arb,arz,sandy,رملي,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,3.9000,True,trill,True,True,NA,رملي,30.0000,31.0000,رملي,4,رملي,4
Arabic,arb,arz,pebbly,محصب,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,3.8000,True,trill,False,False,NA,محصب,30.0000,31.0000,محصب,4,محصب,4
Arabic,arb,arz,ceramic,سيراميك,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-2.5000,False,trill,True,False,NA,سيراميك,30.0000,31.0000,سيراميك,7,سيراميك,7
Arabic,arb,arz,crusty,قشري,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,2.9000,True,trill,True,False,NA,قشري,30.0000,31.0000,قشري,4,قشري,4
Arabic,arb,arz,gelatinous,هلامي,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-4.2000,False,trill,False,True,NA,هلامي,30.0000,31.0000,هلامي,5,هلامي,5
Arabic,arb,arz,bald,أصلع,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-4.1000,False,trill,False,True,NA,أصلع,30.0000,31.0000,أصلع,4,أصلع,4
Arabic,arb,arz,creamy,دسم,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-4.8000,False,trill,False,False,NA,دسم,30.0000,31.0000,دسم,3,دسم,3
Arabic,arb,arz,chalky,طباشيري,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-1.1000,False,trill,True,False,NA,طباشيري,30.0000,31.0000,طباشيري,7,طباشيري,7
Arabic,arb,arz,flat,مسطحة,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-2.7000,False,trill,False,False,NA,مسطحة,30.0000,31.0000,مسطحة,5,مسطحة,5
Arabic,arb,arz,etched,محفورا,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,2.8000,True,trill,True,False,NA,محفورا,30.0000,31.0000,محفورا,6,محفورا,6
Arabic,arb,arz,slimy,غروي,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-5.2000,False,trill,True,False,NA,غروي,30.0000,31.0000,غروي,4,غروي,4
Arabic,arb,arz,harsh,قاس,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,5.5000,True,trill,False,False,NA,قاس,30.0000,31.0000,قاس,3,قاس,3
Arabic,arb,arz,lubricated,مشحم,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-6.2000,False,trill,False,False,NA,مشحم,30.0000,31.0000,مشحم,4,مشحم,4
Arabic,arb,arz,perforated,مثقب,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,0.4000,True,trill,False,False,NA,مثقب,30.0000,31.0000,مثقب,4,مثقب,4
Arabic,arb,arz,scaly,متقشر,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,1.9000,True,trill,True,False,NA,متقشر,30.0000,31.0000,متقشر,5,متقشر,5
Arabic,arb,arz,dusty,مغبر,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-0.8000,False,trill,True,False,NA,مغبر,30.0000,31.0000,مغبر,4,مغبر,4
Arabic,arb,arz,brassy,البراسية عصا غولف نحاسية,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-2.3000,False,trill,True,True,NA,البراسية عصا غولف نحاسية,30.0000,31.0000,البراسيةعصاغولفنحاسية,21,البراسيةعصاغولفنحاسية,21
Arabic,arb,arz,rugged,وعر، خشن، قاس,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,4.0000,True,trill,True,False,NA,وعر، خشن، قاس,30.0000,31.0000,وعر،خشن،قاس,11,وعر،خشن،قاس,11
Arabic,arb,arz,crisp,هش,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,2.0000,True,trill,False,False,NA,هش,30.0000,31.0000,هش,2,هش,2
Arabic,arb,arz,silky,حريري,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-5.9000,False,trill,True,False,NA,حريري,30.0000,31.0000,حريري,5,حريري,5
Arabic,arb,arz,rocky,صخري,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,4.8000,True,trill,True,False,NA,صخري,30.0000,31.0000,صخري,4,صخري,4
Arabic,arb,arz,barbed,شائك,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,6.3000,True,trill,False,False,NA,شائك,30.0000,31.0000,شائك,4,شائك,4
Arabic,arb,arz,hairy,كثير الشعر,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,0.0000,True,trill,True,True,NA,كثير الشعر,30.0000,31.0000,كثيرالشعر,9,كثيرالشعر,9
Arabic,arb,arz,furry,فروي,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-2.8000,False,trill,True,False,NA,فروي,30.0000,31.0000,فروي,4,فروي,4
Arabic,arb,arz,waxy,شمعي,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-3.6000,False,trill,False,False,NA,شمعي,30.0000,31.0000,شمعي,4,شمعي,4
Arabic,arb,arz,greasy,دهني,yes,Google,30.0000,31.0000,Semitic,West Semitic,N Africa,Africa,-5.1000,False,trill,False,False,NA,دهني,30.0000,31.0000,دهني,4,دهني,4
Azeerbaijani,aze,azj,grooved,yivli,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,1.7000,True,no trill,False,True,trilled,yivli,40.5000,48.5000,yivli,5,yivli,5
Azeerbaijani,aze,azj,velvety,məxməri,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-5.3000,False,no trill,True,False,trilled,məxməri,40.5000,48.5000,məxməri,7,məxməri,7
Azeerbaijani,aze,azj,fuzzy,qeyri-səlis,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-1.6000,False,no trill,True,True,trilled,qeyri-səlis,40.5000,48.5000,qeyrisəlis,10,qeyrisəlis,10
Azeerbaijani,aze,azj,abrasive,aşındırıcı,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,6.3000,True,no trill,True,False,trilled,aşındırıcı,40.5000,48.5000,aşındırıcı,10,aşındırıcı,10
Azeerbaijani,aze,azj,slippery,sürüşkən,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-6.2000,False,no trill,True,False,trilled,sürüşkən,40.5000,48.5000,sürüşkən,8,sürüşkən,8
Azeerbaijani,aze,azj,rough,kobud,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,6.2000,True,no trill,False,False,trilled,kobud,40.5000,48.5000,kobud,5,kobud,5
Azeerbaijani,aze,azj,textured,dokulu,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,0.8000,True,no trill,False,True,trilled,dokulu,40.5000,48.5000,dokulu,6,dokulu,6
Azeerbaijani,aze,azj,wooden,taxta,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,1.3000,True,no trill,False,False,trilled,taxta,40.5000,48.5000,taxta,5,taxta,5
Azeerbaijani,aze,azj,polished,cilalanmışdır,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-5.3000,False,no trill,True,True,trilled,cilalanmışdır,40.5000,48.5000,cilalanmışdır,13,cilalanmışdır,13
Azeerbaijani,aze,azj,painted,boyalı,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-3.0000,False,no trill,False,True,trilled,boyalı,40.5000,48.5000,boyalı,6,boyalı,6
Azeerbaijani,aze,azj,woolly,yünlü,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,0.0000,True,no trill,False,True,trilled,yünlü,40.5000,48.5000,yünlü,5,yünlü,5
Azeerbaijani,aze,azj,beaded,boncuklu,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,3.0000,True,no trill,False,True,trilled,boncuklu,40.5000,48.5000,boncuklu,8,boncuklu,8
Azeerbaijani,aze,azj,sandy,qumlu,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,3.9000,True,no trill,False,True,trilled,qumlu,40.5000,48.5000,qumlu,5,qumlu,5
Azeerbaijani,aze,azj,icy,buzlu,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-4.3000,False,no trill,False,True,trilled,buzlu,40.5000,48.5000,buzlu,5,buzlu,5
Azeerbaijani,aze,azj,ceramic,keramika,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-2.5000,False,no trill,True,False,trilled,keramika,40.5000,48.5000,keramika,8,keramika,8
Azeerbaijani,aze,azj,flat,düz,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-2.7000,False,no trill,False,False,trilled,düz,40.5000,48.5000,düz,3,düz,3
Azeerbaijani,aze,azj,perforated,perforasiya edilmiş,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,0.4000,True,no trill,True,True,trilled,perforasiya edilmiş,40.5000,48.5000,perforasiyaedilmiş,18,perforasiyaedilmiş,18
Azeerbaijani,aze,azj,dusty,tozlu,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-0.8000,False,no trill,False,True,trilled,tozlu,40.5000,48.5000,tozlu,5,tozlu,5
Azeerbaijani,aze,azj,cracked,çatladı,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,3.5000,True,no trill,False,True,trilled,çatladı,40.5000,48.5000,çatladı,7,çatladı,7
Azeerbaijani,aze,azj,fibrous,lifli,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,2.3000,True,no trill,False,True,trilled,lifli,40.5000,48.5000,lifli,5,lifli,5
Azeerbaijani,aze,azj,smooth,hamar,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-6.9000,False,no trill,True,False,trilled,hamar,40.5000,48.5000,hamar,5,hamar,5
Azeerbaijani,aze,azj,rocky,qayalı,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,4.8000,True,no trill,False,True,trilled,qayalı,40.5000,48.5000,qayalı,6,qayalı,6
Azeerbaijani,aze,azj,hairy,tüklü,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,0.0000,True,no trill,False,True,trilled,tüklü,40.5000,48.5000,tüklü,5,tüklü,5
Azeerbaijani,aze,azj,woven,toxunmuşdur,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,-0.2000,False,no trill,True,False,trilled,toxunmuşdur,40.5000,48.5000,toxunmuşdur,11,toxunmuşdur,11
Azeerbaijani,aze,azj,blunt,künt,no,Google,40.5000,48.5000,Turkic,Common Turkic,Greater Mesopotamia,W and SW Eurasia,0.5000,True,no trill,False,False,trilled,künt,40.5000,48.5000,künt,4,künt,4
Belarusian,bel,bel,ridged,коньковый,yes,Google,54.0000,28.0000,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,3.1000,True,NA,False,False,trilled,коньковый,54.0000,28.0000,коньковый,9,коньковый,9
Belarusian,bel,bel,velvety,аксаміцісты,yes,Google,54.0000,28.0000,Indo-European,Balto-Slavic,Inner Asia,N-C Asia,-5.3000,False,NA,False,False,trilled,аксаміцісты,54.0000,28.0000,аксаміцісты,11,аксаміцісты,11
